,parm_cd,group,parm_nm,epa_equivalence,result_statistical_basis,result_time_basis,result_weight_basis,result_particle_size_basis,result_sample_fraction,result_temperature_basis,CASRN,SRSName,parm_unit
2237,31919,"Organics, Other","Protein phosphatase assay 2A (PP2A) inhibition as microcystin-LR equivalents, water, unfiltered, recoverable, micrograms per liter",Not checked,,,,,Total,,101043-37-2, ,ug/l
2238,31920,"Organics, Other","(+)-Anatoxin-a equivalents, water, unfiltered, recoverable, micrograms per liter",Not checked,,,,,Total,,64285-06-9, ,ug/l
2239,31921,"Organics, Other","(+)-Anatoxin-a equivalents, water, filtered, recoverable, micrograms per liter",Not checked,,,,,Dissolved,,64285-06-9, ,ug/l
2240,31922,Microbiological,"Nostoc 16S gene, water, DNA based, recoverable, copies per 100 milliliters",Not checked,,,,,Recoverable,, , ,cp/100 mL
2241,31923,Microbiological,"Nostoc 16S gene, solids, DNA based, recoverable, dry weight, copies per gram",Not checked,,,Dry,,Recoverable,, , ,cp/g
2242,31924,Biological,"Bighead carp (Hypophthalmichthys nobilis) COI gene, water, DNA based, recoverable, copies per liter",Not checked,,,,,Recoverable,, ,Hypophthalmichthys nobilis,cp/L
2243,31925,Biological,"Silver carp (Hypophthalmichthys molitrix) COI gene, water, DNA based, recoverable, copies per liter",Not checked,,,,,Recoverable,, ,Hypophthalmichthys molitrix,cp/L
2244,31926,Biological,"Grass carp (Ctenopharyngodon idella) COI gene, water, DNA based, recoverable, copies per liter",Not checked,,,,,Recoverable,, , ,cp/L
2245,31927,Biological,"Black carp (Mylopharyngodon piceus) COI gene, water, DNA based, recoverable, copies per liter)",Not checked,,,,,Recoverable,, , ,cp/L
2246,31928,Biological,"Kidneyshell (Ptychobranchus fasciolaris) COI gene, water, DNA based, recoverable, copies per liter",Not checked,,,,,Recoverable,, , ,cp/L
2247,31929,Biological,"Prymnesium parvum ITS gene, water, DNA based, recoverable, copies per 100 milliliters",Not checked,,,,,Recoverable,, , ,cp/100 mL
2248,31930,Biological,"Maccaffertium pulchellum COI gene, water, DNA based, recoverable, copies per liter",Not checked,,,,,Recoverable,, , ,cp/L
2249,31931,Biological,"Chimera obscura COI gene, water, DNA based, recoverable, copies per liter",Not checked,,,,,Recoverable,, , ,cp/L
2250,31932,Biological,"Northern riffleshell (Epioblasma torulosa rangiana) COI gene, water, DNA based, recoverable, copies per liter",Not checked,,,,,Recoverable,, , ,cp/L
2251,31933,Microbiological,"crAssphage human marker, CPQ_056, water, 0.4 micron filter method, recoverable, copies per 100 milliliter",Not checked,,,,,Recoverable,, , ,cp/100 mL
2252,31934,Microbiological,"crAssphage human marker, CPQ_056, solids, recoverable, dry weight, copies per gram",Not checked,,,Dry,,Recoverable,, , ,cp/g
2253,31935,Microbiological,"crAssphage human marker, CPQ_064, water, 0.4 micron filter method, recoverable, copies per 100 milliliter",Not checked,,,,,Recoverable,, , ,cp/100 mL
2254,31936,Microbiological,"crAssphage human marker, CPQ_064, solids, recoverable, dry weight, copies per gram",Not checked,,,Dry,,Recoverable,, , ,cp/g
2255,31937,"Organics, Other","Total anatoxin-a, water, unfiltered, enzyme-linked immunosorbant assay (ELISA), recoverable, micrograms per liter",Not checked,,,,,Total,,64285-06-9,Anatoxin-A,ug/l
2256,31938,Microbiological,"Escherichia coli, defined substrate test method (DSTM), water, geometric mean, most probable number per 100 milliliters",Not checked,,,,,Total,,68583-22-2,Escherichia coli,MPN/100 ml
2257,31939,Microbiological,"Escherichia coli, defined substrate test method (DSTM), sediment, dry weight, geometric mean, most probable number per gram",Not checked,,,Dry,,Total,,68583-22-2,Escherichia coli,MPN/g
2258,31940,Microbiological,"Escherichia coli, defined substrate test method (DSTM), sediment, wet weight,  geometric mean, most probable number per gram",Not checked,,,Wet,,Total,,68583-22-2,Escherichia coli,MPN/g
2259,31941,Microbiological,"Total coliforms, defined substrate test method (DSTM), water, geometric mean, most probable number per 100 milliliters",Not checked,,,,,Total,, ,Total coliforms,MPN/100 ml
2260,31942,Microbiological,"Total coliforms, defined substrate test method (DSTM), sediment, dry weight,  geometric mean, most probable number per gram",Not checked,,,Dry,,Total,, ,Total coliforms,MPN/g
2261,31943,Microbiological,"Total coliforms, defined substrate test method (DSTM), sediment, wet weight,  geometric mean, most probable number per gram",Not checked,,,Wet,,Total,, ,Total coliforms,MPN/g
2262,31944,Microbiological,"Cyanobacteria-specific methyl-isoborneol (MIB) gene mic, solids, DNA based, recoverable, dry weight, copies per gram",Not checked,,,Dry,,Recoverable,, , ,cp/g
2263,31945,Microbiological,"Cyanobacteria-specific geosmin gene geoA, solids, DNA based, recoverable, dry weight, copies per gram",Not checked,,,Dry,,Recoverable,, , ,cp/g
2264,31946,Microbiological,"Gloeotrichia-specific gene, solids, DNA based, recoverable, dry weight, quantitative polymerase chain reaction (qPCR) method, copies per gram",Not checked,,,Dry,,Recoverable,, , ,cp/g
2265,31947,Microbiological,"Gloeotrichia-specific gene, water, DNA based, recoverable, quantitative polymerase chain reaction (qPCR) method, copies per 100 milliliters",Not checked,,,,,Total,, , ,cp/100 mL
2266,31948,Microbiological,"Bacteroides canine marker, DG3, water, recoverable, copies per 100 milliliters",Not checked,,,,,Total,, , ,cp/100 mL
2267,31949,Microbiological,"Bacteroides canine marker, DG3, solids, recoverable, dry weight, copies per gram",Not checked,,,Dry,,Recoverable,, , ,cp/g
2268,31950,Microbiological,"Lachnospiraceae canine marker, DG37, water, recoverable, copies per 100 milliliters",Not checked,,,,,Total,, , ,cp/100 mL
2269,31951,Microbiological,"Lachnospiraceae canine marker, DG37, solids, recoverable, dry weight, copies per gram",Not checked,,,Dry,,Recoverable,, , ,cp/g
2270,31952,Microbiological,"Cryptosporidium spp. (pan-Crypto) 18S rRNA gene, CRU18S, water, recoverable, quantitative polymerase chain reaction (qPCR) method, copies per liter",Not checked,,,,,Total,, , ,cp/L
2271,31953,Microbiological,"Cryptosporidium spp. (pan-Crypto) 18S rRNA gene, JVA, water, recoverable, quantitative polymerase chain reaction (qPCR) method, copies per liter",Not checked,,,,,Total,, , ,cp/L
2272,31954,Microbiological,"Cryptosporidium parvum gene, JVAG2, water, recoverable, quantitative polymerase chain reaction (qPCR) method, copies per liter",Not checked,,,,,Total,, ,Cryptosporidium parvum,cp/L
2273,31955,Microbiological,"Cryptosporidium hominis gene, JVAG1, water, recoverable, quantitative polymerase chain reaction (qPCR) method, copies per liter",Not checked,,,,,Total,, , ,cp/L
2274,31956,Microbiological,"Avian-associated bacteroidales, GFD assay, water, unfiltered, quantitative polymerase chain reaction (qPCR) method, copies per liter",Not checked,,,,,Recoverable,, , ,cp/L
2275,31957,Microbiological,"Bacteroidales Pig-1-Bac Pig-specific, water, unfiltered, quantitative polymerase chain reaction (qPCR) method, copies per liter",Not checked,,,,,Recoverable,, , ,cp/L
2276,31958,Microbiological,"Bacteroidales Pig-2-Bac Pig-specific, water, unfiltered, quantitative polymerase chain reaction (qPCR) method, copies per liter",Not checked,,,,,Recoverable,, , ,cp/L
2277,31959,Microbiological,"Hepatitis-E virus, water, unfiltered, quantitative polymerase chain reaction (qPCR) method, copies per liter",Not checked,,,,,Recoverable,, , ,cp/L
2278,31960,Microbiological,"Shigella and enteroinvasive Escherichia coli (EIEC) ipaH gene, water, unfiltered, quantitative polymerase chain reaction (qPCR) method, copies per liter",Not checked,,,,,Recoverable,, , ,cp/L
2279,31961,Microbiological,"Staphylococcus aureus nuc gene, water, unfiltered, quantitative polymerase chain reaction (qPCR) method, copies per liter",Not checked,,,,,Recoverable,, , ,cp/L
2280,31962,Microbiological,"Cryptosporidium baileyi, water, unfiltered, quantitative polymerase chain reaction (qPCR) method, copies per liter",Not checked,,,,,Recoverable,, , ,cp/L
2281,31963,Microbiological,"Cryptosporidium galli, water, unfiltered, quantitative polymerase chain reaction (qPCR) method, copies per liter",Not checked,,,,,Recoverable,, , ,cp/L
2282,31964,Microbiological,"Cryptosporidium meleagridis, water, unfiltered, quantitative polymerase chain reaction (qPCR) method, copies per liter",Not checked,,,,,Recoverable,, , ,cp/L
2283,31965,Microbiological,"Cryptosporidium suis, water, unfiltered, quantitative polymerase chain reaction (qPCR) method, copies per liter",Not checked,,,,,Recoverable,, , ,cp/L
2284,31966,Microbiological,"Cryptosporidium ubiquitum, water, unfiltered, quantitative polymerase chain reaction (qPCR) method, copies per liter",Not checked,,,,,Recoverable,, , ,cp/L
2285,31967,Microbiological,"2019_nCOV_N1, water, unfiltered, quantitative polymerase chain reaction (qPCR) method, copies per liter",Not checked,,,,,Recoverable,, , ,cp/L
2286,31968,Microbiological,"2019_nCOV_N2, water, unfiltered, quantitative polymerase chain reaction (qPCR) method, copies per liter",Not checked,,,,,Recoverable,, , ,cp/L
2287,31969,Microbiological,"Moraxella bovis, water, unfiltered, quantitative polymerase chain reaction (qPCR) method, copies per liter",Not checked,,,,,Recoverable,, , ,cp/L
2288,32000,Information,"Sample volume, liters",Agree,,,,,,, , ,l
2289,32001,Information,"Sample volume, gallons",Agree,,,,,,, , ,gal
2290,32002,Information,"Sample volume, milliliters",Agree,,,,,,, , ,ml
2291,32003,"Organics, Other","Organic compounds, water, unfiltered, chloroform & alcohol extraction, recoverable, micrograms per liter",Not checked,,,,,Recoverable,, ,Organic compounds,ug/l
2292,32004,"Organics, Other","Organic compounds, water, unfiltered, alcohol extraction, recoverable, micrograms per liter",Not checked,,,,,Recoverable,, ,Organic compounds,ug/l
2293,32005,"Organics, Other","Organic compounds, water, unfiltered, chloroform extraction, recoverable, micrograms per liter",Not checked,,,,,Recoverable,, ,Organic compounds,ug/l
2294,32101,"Organics, Other","Bromodichloromethane, water, unfiltered, recoverable, micrograms per liter",Agree,,,,,Recoverable,,75-27-4,Dichlorobromomethane,ug/l
2295,32102,"Organics, Other","Tetrachloromethane, water, unfiltered, recoverable, micrograms per liter",Agree,,,,,Recoverable,,56-23-5,Carbon tetrachloride,ug/l
2296,32103,"Organics, Pesticide","1,2-Dichloroethane, water, unfiltered, recoverable, micrograms per liter",Agree,,,,,Recoverable,,107-06-2,"1,2-Dichloroethane",ug/l
2297,32104,"Organics, Other","Tribromomethane, water, unfiltered, recoverable, micrograms per liter",Agree,,,,,Recoverable,,75-25-2,Tribromomethane,ug/l
2298,32105,"Organics, Other","Dibromochloromethane, water, unfiltered, recoverable, micrograms per liter",Agree,,,,,Recoverable,,124-48-1,Chlorodibromomethane,ug/l
2299,32106,"Organics, Other","Trichloromethane, water, unfiltered, recoverable, micrograms per liter",Agree,,,,,Recoverable,,67-66-3,Chloroform,ug/l
2300,32207,Biological,"Chlorophyll a, periphyton, narrow band fluorometric method, milligrams per square meter",Not checked,,,,,Total,,479-61-8,Chlorophyll a,mg/m2
2301,32208,Biological,"Chlorophyll a, phytoplankton, narrow band fluorometric method, micrograms per liter",Not checked,,,,,Total,,479-61-8,Chlorophyll a,ug/l
2302,32209,Biological,"Chlorophyll a, water, fluorometric method, corrected, micrograms per liter",Agree,,,,,,,479-61-8,Chlorophyll a,ug/l
2303,32210,Biological,"Chlorophyll a, water, trichromatic method, uncorrected, micrograms per liter",Agree,,,,,Total,,479-61-8,Chlorophyll a,ug/l
2304,32211,Biological,"Chlorophyll a, phytoplankton, spectrophotometric acid method, micrograms per liter",Not checked,,,,,,,479-61-8,Chlorophyll a,ug/l
2305,32213,Biological,"Pheophytin a, fluorometric method, micrograms per liter",Agree,,,,,,,603-17-8,Pheophytin a,ug/l
2306,32217,Biological,"Chlorophyll a, fluorometric method, uncorrected, micrograms per liter",Agree,,,,,,,479-61-8,Chlorophyll a,ug/l
2307,32218,Biological,"Pheophytin a, phytoplankton, spectrophotometric acid method, micrograms per liter",Not checked,,,,,,,603-17-8,Pheophytin a,ug/l
2308,32223,Biological,"Chlorophyll a, periphyton, spectrophotometric method, corrected, milligrams per square meter",Not checked,,,,,,,479-61-8,Chlorophyll a,mg/m2
2309,32224,Biological,"Pheophytin a, periphyton, spectrophotometric acid method, milligrams per square meter",Not checked,,,,,,,603-17-8,Pheophytin a,mg/m2
2310,32225,Biological,"Chlorophylls, periphyton, spectrophotometric method, uncorrected, milligrams per square meter",Not checked,,,,,,,1406-65-1,Chlorophyll,mg/m2
2311,32226,Biological,"Chlorophyll b, periphyton, spectrophotometric method, uncorrected, milligrams per square meter",Not checked,,,,,,,519-62-0,Chlorophyll b,mg/m2
2312,32227,Biological,"Chlorophyll c, periphyton, spectrophotometric method, uncorrected, milligrams per square meter",Not checked,,,,,,,11003-45-5,Chlorophyll c,mg/m2
2313,32228,Biological,"Chlorophyll a, periphyton, spectrophotometric method, uncorrected, milligrams per square meter",Not checked,,,,,,,479-61-8,Chlorophyll a,mg/m2
2314,32230,Biological,"Chlorophyll a, phytoplankton, spectrophotometric method, uncorrected, micrograms per liter",Not checked,,,,,,,479-61-8,Chlorophyll a,ug/l
2315,32231,Biological,"Chlorophyll b, phytoplankton, spectrophotometric method, micrograms per liter",Not checked,,,,,,,519-62-0,Chlorophyll b,ug/l
2316,32232,Biological,"Chlorophyll c, phytoplankton, spectrophotometric method, micrograms per liter",Not checked,,,,,,,11003-45-5,Chlorophyll c,ug/l
2317,32234,Biological,"Chlorophylls, phytoplankton, spectrophotometric method, uncorrected, micrograms per liter",Not checked,,,,,,,1406-65-1,Chlorophyll,ug/l
2318,32240,"Organics, Other","Tannin and lignin, water, unfiltered, recoverable, milligrams per liter",Not checked,,,,,Recoverable,,9005-53-2,Tannin and Lignin,mg/l
2319,32241,Biological,"Chlorophylls, periphyton, fluorometric method, uncorrected, milligrams per square meter",USGS use and no use by EPA,,,,,,,1406-65-1,Chlorophyll,mg/m2
2320,32242,Biological,"Chlorophyll a, periphyton, fluorometric method, corrected, milligrams per square meter",USGS use and no use by EPA,,,,,,,479-61-8,Chlorophyll a,mg/m2
2321,32243,Biological,"Pheophytin a, periphyton, fluorometric method, milligrams per square meter",USGS use and no use by EPA,,,,,,,603-17-8,Pheophytin a,mg/m2
2322,32268,Biological,"Pheophytin a, plankton in water, milligrams per cubic meter",Not checked,,,,,,,603-17-8, ,mg/m3
2323,32269,Biological,"Chlorophyll a, plankton in water, milligrams per cubic meter",Not checked,,,,,,,479-61-8, ,mg/m3
2324,32271,Biological,"Chlorophylls less than 35 microns, 35-um sieve prefilter, phytoplankton, fluorometric method, micrograms per liter",USGS use and no use by EPA,,,,< 35 microns,,,1406-65-1,Chlorophyll,ug/l
2325,32272,Biological,"Chlorophyll a less than 35 microns, 35-um sieve prefilter, phytoplankton, fluorometric method, corrected, micrograms per liter",USGS use and no use by EPA,,,,< 35 microns,,,479-61-8,Chlorophyll a,ug/l
2326,32273,Biological,"Pheophytin a less than 35 microns, 35-um sieve prefilter, phytoplankton, fluorometric method, micrograms per liter",USGS use and no use by EPA,,,,< 35 microns,,,603-17-8,Pheophytin a,ug/l
2327,32274,Biological,"Chlorophylls less than 11 microns, 11-um sieve prefilter, phytoplankton, fluorometric method, micrograms per liter",USGS use and no use by EPA,,,,< 11 microns,,,1406-65-1,Chlorophyll,ug/l
2328,32275,Biological,"Chlorophyll a less than 11 microns, 11-um sieve prefilter, phytoplankton, fluorometric method, corrected, micrograms per liter",USGS use and no use by EPA,,,,< 11 microns,,,479-61-8,Chlorophyll a,ug/l
2329,32276,Biological,"Pheophytin a less than 11 microns, 11-um sieve prefilter, phytoplankton, fluorometric method, micrograms per liter",USGS use and no use by EPA,,,,< 11 microns,,,603-17-8,Pheophytin a,ug/l
2330,32277,Biological,"Chlorophylls greater than 35 microns, calculated as chlorophylls (P32217) less chlorophylls <35 um (P32271), micrograms per liter",USGS use and no use by EPA,,,,> 35 microns,,,1406-65-1,Chlorophyll,ug/l
2331,32278,Biological,"Chlorophyll a greater than 35 microns, calculated as chlorophyll a (P32209) less chlorophyll a <35 um (P32272), micrograms per liter",USGS use and no use by EPA,,,,> 35 microns,,,479-61-8,Chlorophyll a,ug/l
2332,32279,Biological,"Pheophytin a greater than 35 microns, calculated as pheophytin a (P32213) less pheophytin a <35 um (P32273), micrograms per liter",USGS use and no use by EPA,,,,> 35 microns,,,603-17-8,Pheophytin a,ug/l
2333,32280,Biological,"Chlorophylls greater than 11 microns, calculated as chlorophylls (P32217) less chlorophylls <11 um (P32274), micrograms per liter",USGS use and no use by EPA,,,,> 11 microns,,,1406-65-1,Chlorophyll,ug/l
2334,32281,Biological,"Chlorophyll a greater than 11 microns, calculated as chlorophyll a (P32209) less chlorophyll a <11 um (P32275), micrograms per liter",USGS use and no use by EPA,,,,> 11 microns,,,479-61-8,Chlorophyll a,ug/l
2335,32282,Biological,"Pheophytin a greater than 11 microns, calculated as pheophytin a (P32213) less pheophytin a <11 um (P32276), micrograms per liter",USGS use and no use by EPA,,,,> 11 microns,,,603-17-8,Pheophytin a,ug/l
2336,32283,Biological,"Chlorophyll fluorescence (fChl), total, water, in situ, fluorometric, 650-700 nm, relative fluorescence units (RFU)",Not checked,,,,,,,1406-65-1,Chlorophyll,RFU
2337,32284,Biological,"Chlorophyll a, total, in situ, fluorescence excitation at 370, 470, 525, 570, 590, 610 nm, fluorescence emission at 700 nm with correction for CDOM, ug/L",Not checked,,,,,Total,,479-61-8, ,ug/l
2338,32285,Biological,"Chlorophyll a, green algae, in situ, fluorescence excitation at 370, 470, 525, 570, 590, 610 nm, fluorescence emission at 700 nm with correction for CDOM, ug/L",Not checked,,,,,Total,,479-61-8, ,ug/l
2339,32286,Biological,"Chlorophyll a, cyanobacteria, in situ, fluorescence excitation at 370, 470, 525, 570, 590, 610 nm, fluorescence emission at 700 nm with correction for CDOM, ug/L",Not checked,,,,,Total,,479-61-8, ,ug/l
2340,32287,Biological,"Chlorophyll a, cryptophytes, in situ, fluorescence excitation at 370, 470, 525, 570, 590, 610 nm, fluorescence emission at 700 nm with correction for CDOM, ug/L",Not checked,,,,,Total,,479-61-8, ,ug/l
2341,32288,Biological,"Chlorophyll a, diatoms and dinoflagellates, in situ, excitation at 370, 470, 525, 570, 590, 610 nm, fluorescence emission at 700 nm with correction for CDOM, ug/L",Not checked,,,,,Total,,479-61-8, ,ug/l
2342,32289,"Organics, Other","Colored dissolved organic matter (CDOM), in situ, fluorescence excitation at 370, 470, 525, 570, 590, 610 nm, fluorescence emission at 700 nm, milligrams per liter",Not checked,,,,,Dissolved,, ,Colored dissolved organic matter (CDOM),mg/l
2343,32290,Physical,"Fluorescence transmission (transparency to fluorescence) at 700 nm, percent",Not checked,,,,,,, , ,%
2344,32291,Physical,"UV fluorescence, water, in situ, single band, 370 nm excitation, 460 nm emission, relative fluorescence units (RFU)",Not checked,,,,,,, , ,RFU
2345,32292,Physical,"UV fluorescence, water, in situ, single band, 270 nm excitation, 340 nm emission, relative fluorescence units (RFU)",Not checked,,,,,,, , ,RFU
2346,32293,Physical,"UV fluorescence, water, in situ, single band, 370 nm excitation, 470 nm emission, relative fluorescence units (RFU)",Not checked,,,,,,, , ,RFU
2347,32294,Physical,"UV fluorescence, water, in situ, single band, 370 nm excitation, 520 nm emission, relative fluorescence units (RFU)",Not checked,,,,,,, , ,RFU
2348,32295,Physical,"Dissolved organic matter fluorescence (fDOM), water, in situ, concentration estimated from reference material, micrograms per liter as quinine sulfate equivalents (QSE)",Not checked,,,,,Dissolved,, ,Colored dissolved organic matter (CDOM),ug/l QSE
2349,32296,Physical,"Absorbance at 280 nm, water, filtered, absorbance units per centimeter",Not checked,,,,,Dissolved,, , ,AU/cm
2350,32297,Physical,"Absorbance at 370 nm, water, filtered, absorbance units per centimeter",Not checked,,,,,Dissolved,, , ,AU/cm
2351,32298,Physical,"Absorbance at 412 nm, water, filtered, absorbance units per centimeter",Not checked,,,,,Dissolved,, , ,AU/cm
2352,32299,Physical,"Absorbance at 440 nm, water, filtered, absorbance units per centimeter",Not checked,,,,,Dissolved,, , ,AU/cm
2353,32300,Physical,"Absorption spectral slope (Sag), wavelengths 275 to 295 nm, unitless",Not checked,,,,,Dissolved,, , ,
2354,32301,Physical,"Absorption spectral slope (Sag), wavelengths 290 to 350 nm, unitless",Not checked,,,,,Dissolved,, , ,
2355,32302,Physical,"Absorption spectral slope (Sag), wavelengths 350 to 400 nm, unitless",Not checked,,,,,Dissolved,, , ,
2356,32303,Physical,"Absorption spectral slope, wavelengths 412 to 676 nm, unitless",Not checked,,,,,Dissolved,, , ,
2357,32304,Physical,"Fluorescence, water, filtered, excitation at 260 nm, emission at 450 nm, Raman units (RU)",Not checked,,,,,Dissolved,, , ,RU
2358,32305,Physical,"Fluorescence, water, filtered, excitation at 275 nm, emission at 304 nm, Raman units (RU)",Not checked,,,,,Dissolved,, , ,RU
2359,32306,Physical,"Fluorescence, water, filtered, excitation at 340 nm, emission at 440 nm, micrograms per liter as quinine sulfate equivalents (QSE)",Not checked,,,,,Dissolved,, , ,ug/l QSE
2360,32307,Physical,"Fluorescence, water, filtered, excitation at 390 nm, emission at 510 nm, Raman units (RU)",Not checked,,,,,Dissolved,, , ,RU
2361,32308,Physical,"Fluorescence, water, filtered, excitation at 370 nm, emission at 460 nm, micrograms per liter as quinine sulfate equivalents (QSE)",Not checked,,,,,Dissolved,, , ,ug/l QSE
2362,32309,Physical,"Fluorescence, water, filtered, excitation at 300 nm, emission at 390 nm, Raman units (RU)",Not checked,,,,,Dissolved,, , ,RU
2363,32310,Physical,"Fluorescence, water, filtered, excitation at 280 nm, emission at 370 nm, Raman units (RU)",Not checked,,,,,Dissolved,, , ,RU
2364,32311,Physical,"Fluorescence, water, filtered, excitation at 275 nm, emission at 340 nm, Raman units (RU)",Not checked,,,,,Dissolved,, , ,RU
2365,32312,Physical,Fluorescence Index - ratio of emission intensities which characterizes the slope of the emission curve at an excitation of 370 nm,Not checked,,,,,Dissolved,, , ,
2366,32313,Physical,Humification Index - calculated by dividing the fluorescence intensity in the 435-480 nm region by the total intensities in the 300-345 and 435-480 nm regions,Not checked,,,,,Dissolved,, , ,
2367,32314,"Organics, Other","Colored dissolved organic matter (CDOM), water, filtered, field, single band excitation, fluorescence emission, micrograms per liter as quinine sulfate equivalents (QSE)",Not checked,,,,,Dissolved,, ,Colored dissolved organic matter (CDOM),ug/l QSE
2368,32315,Physical,"Chlorophyll relative fluorescence (fChl), water, in situ, relative fluorescence units (RFU)",Not checked,,,,,Total,,479-61-8,Chlorophyll a,RFU
2369,32316,Physical,"Chlorophyll fluorescence (fChl), water, in situ, concentration estimated from reference material, micrograms per liter as chlorophyll",Not checked,,,,,Total,,1406-65-1,Chlorophyll a,ug/l
2370,32317,Biological,"Chlorophyll a, water, in situ, concentration computed by regression of sensor data with field sample lab results, micrograms per liter as chlorophyll a",Not checked,,,,,Total,,479-61-8,Chlorophyll a,ug/l
2371,32318,Biological,"Chlorophylls, water, in situ, fluorometric method, excitation at 470 +-15 nm, emission at 685 +-20 nm, micrograms per liter",Not checked,,,,,Total,,1406-65-1, ,ug/l
2372,32319,Physical,"Phycocyanin fluorescence (fPC), water, in situ, concentration estimated from reference material, micrograms per liter as phycocyanin",Not checked,,,,,Total,, , ,ug/l
2373,32320,Biological,"Chlorophyll fluorescence (fChl), water, in situ, fluorometric method, excitation at 470 +-15 nm, emission at 685 +-20 nm, relative fluorescence units (RFU)",Not checked,,,,,Total,,1406-65-1, ,RFU
2374,32321,Physical,"Phycocyanin relative fluorescence (fPC), water, in situ, relative fluorescence units (RFU)",Not checked,,,,,Total,, , ,RFU
2375,32322,Physical,"Dissolved organic matter relative fluorescence (fDOM), water, in situ, relative fluorescence units (RFU)",Not checked,,,,,Total,, ,Colored dissolved organic matter (CDOM),RFU
2376,32323,Physical,"Phycoerythrin relative fluorescence (fPE), water, in situ, relative fluorescence units (RFU)",Not checked,,,,,Total,,18097-67-1, ,RFU
2377,32324,"Organics, Other","Crude oil relative fluorescence (fCO), water, in situ, relative fluorescence units (RFU)",Not checked,,,,,Total,, , ,RFU
2378,32325,Information,"Dark measurement spectral average, water, in situ, ultraviolet nitrate analyzer, raw counts",Not checked,,,,,Total,, , ,count
2379,32326,Information,"Light measurement spectral average, water, in situ, ultraviolet nitrate analyzer, raw counts",Not checked,,,,,Total,, , ,count
2380,32327,Physical,"Absorbance at 254 nm, water, in situ, absorbance units",Not checked,,,,,Total,, ,UV 254 -- SDWA NPDWR,AU
2381,32328,Physical,"Absorbance at 350 nm, water, in situ, absorbance units",Not checked,,,,,Total,, , ,AU
2382,32329,Biological,"Phycocyanin (PC), water, in situ, concentration computed by regression of sensor data with field sample lab results, micrograms per liter",Not checked,,,,,Total,, , ,ug/l
2383,32330,"Organics, Other","Colored dissolved organic matter fluorescence (fDOM), water, in situ, milligrams per liter of carbon",Not checked,,,,,Total,, , ,mg/l
2384,32331,Physical,"Absorption spectral slope (Sag), wavelengths 412 to 600 nm, unitless",Not checked,,,,,Dissolved,, , ,
2385,32332,Physical,"Fluorescence, water, filtered, excitation at 340 nm, emission at 440 nm, Raman units (RU)",Not checked,,,,,Dissolved,, , ,RU
2386,32333,Physical,"Fluorescence, water, filtered, excitation at 370 nm, emission at 460 nm, Raman units (RU)",Not checked,,,,,Dissolved,, , ,RU
2387,32334,Biological,"Chlorophyll, water, in situ, uncorrected for degradation products, computed by regression of sensor data with sample lab results, micrograms per liter as chlorophyll",Not checked,,,,,Total,,1406-65-1, ,ug/l
2388,32335,Microbiological,"Cyanobacterial abundance from a phycocyanin sensor (PC), water, in situ, concentration computed by regression of sensor data with field samples, cells per milliliter",Not checked,,,,,Total,, , ,cells/mL
2389,32336,Microbiological,"Phycoerythrin fluorescence (fPE), water, in situ, concentration estimated from reference material, micrograms per liter as phycoerythrin",Not checked,,,,,Total,,18097-67-1, ,ug/l
2390,32337,Microbiological,"Phycoerythrin (PE), water, in situ, concentration computed by regression of sensor data with field sample lab results, micrograms per liter",Not checked,,,,,Total,,18097-67-1, ,ug/l
2391,32338,Microbiological,"Cyanobacteria fluorescence of phycoerythrin (fPE), water, in situ, concentration estimated from reference material, cells per milliliter",Not checked,,,,,Total,,18097-67-1, ,cells/mL
2392,32339,Microbiological,"Cyanobacterial abundance from a phycoerythrin sensor (PE), water, in situ, concentration computed by regression of sensor data with field samples, cells per milliliter",Not checked,,,,,Total,, , ,cells/mL
2393,32340,"Organics, Other","Optical brightener relative fluorescence (fOB), water, in situ, relative fluorescence units (RFU)",Not checked,,,,,Total,, , ,RFU
2394,32341,"Organics, Other","Optical brightener fluorescence (fOB), water, in situ, concentration estimated from reference material, micrograms per liter as 1,3,6,8-pyrene tetrasulfonic acid (PTSA)",Not checked,,,,,Total,, , ,ug/L PTSA
2395,32342,"Organics, Other","Wastewater relative fluorescence (fWW), water, in situ, relative fluorescence units (RFU)",Not checked,,,,,Total,, , ,RFU
2396,32343,"Organics, Other","Rhodamine WT relative fluorescence (fRWT), water, in situ, relative fluorescence units (RFU)",Not checked,,,,,Total,,37299-86-8, ,RFU
2397,32344,"Organics, Other","Fluorescein relative fluorescence (fFL), water, in situ, relative fluorescence units (RFU)",Not checked,,,,,Total,,2321-07-5, ,RFU
2398,32345,"Organics, Other","Fluorescein fluorescence (fFL), water, in situ, concentration calibrated to reference material, micrograms per liter",Not checked,,,,,Total,,2321-07-5, ,ug/l
2399,32346,Microbiological,"Picocyanobacteria, PE-rich, water, enumeration, cells per liter",Not checked,,,,,Total,, , ,cells/L
2400,32347,Physical,"Ratio of emission intensity at 380 nm divided by the maximum emission intensity between 420 nm and 435 nm at excitation 310 nm, water, filtered, unitless",Not checked,,,,,Dissolved,, , ,
2401,32348,Physical,"Ratio of emission intensity at 380 nm divided by 430 nm at excitation 310 nm, water, filtered, unitless",Not checked,,,,,Dissolved,, , ,
2402,32349,Physical,"Fluorescence at excitation 370 nm and emission at 460 nm divided by absorbance at 370 nm, water, filtered, calculated, Raman units centimeter (RU cm)",Not checked,,,,,Dissolved,, , ,(RU cm)/AU
