,parm_cd,group,parm_nm,epa_equivalence,result_statistical_basis,result_time_basis,result_weight_basis,result_particle_size_basis,result_sample_fraction,result_temperature_basis,CASRN,SRSName,parm_unit
19037,90609,Information,"4-n-Nonylphenol-13C6, isotope dilution standard, water, filtered, percent recovery",Not checked,,,,,Dissolved,, , ,%
19038,90610,Information,"4-n-Nonylphenol monoethoxylate-13C6, isotope dilution standard, water, filtered, percent recovery",Not checked,,,,,Dissolved,, , ,%
19039,90611,Information,"4-n-Nonylphenol diethoxylate-13C6, isotope dilution standard, water, filtered, percent recovery",Not checked,,,,,Dissolved,, , ,%
19040,90612,Information,"4-n-Nonylphenol triethoxylate-13C6, isotope dilution standard, water, filtered, percent recovery",Not checked,,,,,Dissolved,, , ,%
19041,90613,Information,"4-n-Octylphenol-13C6, isotope dilution standard, water, filtered, percent recovery",Not checked,,,,,Dissolved,, , ,%
19042,90614,Information,"4-n-Octylphenol monoethoxylate-13C6 (4-n-OP1EO-13C6), isotope dilution standard, water, filtered, percent recovery",Not checked,,,,,Dissolved,, , ,%
19043,90615,Information,"4-n-Octylphenol diethoxylate-13C6 (4-n-OP2EO-13C6), isotope dilution standard, water, filtered, percent recovery",Not checked,,,,,Dissolved,, , ,%
19044,90616,Information,"4-n-Nonylphenol-13C6, isotope dilution standard, solids, percent recovery",Not checked,,,,,,, , ,%
19045,90617,Information,"4-n-Nonylphenol monoethoxylate-13C6, isotope dilution standard, solids, percent recovery",Not checked,,,,,,, , ,%
19046,90618,Information,"4-n-Nonylphenol diethoxylate-13C6, isotope dilution standard, solids, percent recovery",Not checked,,,,,,, , ,%
19047,90619,Information,"4-n-Nonylphenol triethoxylate-13C6, isotope dilution standard, solids, percent recovery",Not checked,,,,,,, , ,%
19048,90620,Information,"Iodomethane-d3, surrogate, VOC-sim, water, unfiltered, percent recovery",USGS use and no use by EPA,,,,,Total,,865-50-9, ,%
19049,90621,Information,"4-n-Octylphenol-13C6, isotope dilution standard, solids, percent recovery",Not checked,,,,,,, , ,%
19050,90622,Information,"4-n-Octylphenol monoethoxylate-13C6 (4-n-OP1EO-13C6), isotope dilution standard, solids, percent recovery",Not checked,,,,,,, , ,%
19051,90623,Information,"4-n-Octylphenol diethoxylate-13C6 (4-n-OP2EO-13C6), isotope dilution standard, solids, percent recovery",Not checked,,,,,,, , ,%
19052,90624,Information,"Butachlor sulfonic acid, surrogate, NWQL schedule 2437, water, filtered, percent recovery",Not checked,,,,,Dissolved,,187022-12-4, ,%
19053,90625,Information,"Dimethachlor sulfonic acid, surrogate, NWQL schedule 2437, water, filtered, percent recovery",Not checked,,,,,Dissolved,, , ,%
19054,90626,Information,"Diazinon-d10, surrogate, NWQL schedule 1396, water, unfiltered, percent recovery",Not checked,,,,,Recoverable,,100155-47-3, ,%
19055,90627,Information,"alpha-HCH-d6, surrogate, NWQL schedule 1396, water, unfiltered, percent recovery",Not checked,,,,,Recoverable,,86194-41-4, ,%
19056,90628,Information,"Chloramphenicol-d5, surrogate, NWQL Pharm3 method, water, filtered, percent recovery",Not checked,,,,,Dissolved,, , ,%
19057,90629,Information,"Losartan-d3, surrogate, NWQL Pharm3 method, water, filtered, percent recovery",Not checked,,,,,Dissolved,, , ,%
19058,90630,Information,"Phenol-d5, surrogate, NWQL schedules 1383/1385, water, unfiltered, percent recovery",USGS use and no use by EPA,,,,,Total,,4165-62-2, ,%
19059,90631,Information,"Phenol-d5, surrogate, NWQL schedules 1384/1386, bed sediment, percent recovery",USGS use and no use by EPA,,,,,Bed Sediment,,4165-62-2, ,%
19060,90632,Information,"Secobarbital-d5, surrogate, NWQL Pharm3 method, water, filtered, percent recovery",Not checked,,,,,Dissolved,, , ,%
19061,90633,Information,"Atorvastatin-d5, surrogate, NWQL Pharm3 method, water, filtered, percent recovery",Not checked,,,,,Dissolved,, , ,%
19062,90634,Information,"Ethyl glucuronide-d5, surrogate, NWQL Pharm3 method, water, filtered, percent recovery",Not checked,,,,,Dissolved,, , ,%
19063,90635,Information,"Furosemide-d5, surrogate, NWQL Pharm3 method, water, filtered, percent recovery",Not checked,,,,,Dissolved,, , ,%
19064,90636,Information,"Montelukast-d6 sodium salt, surrogate, NWQL Pharm3 method, water, filtered, percent recovery",Not checked,,,,,Dissolved,, , ,%
19065,90637,Information,"Bisphenol A-2,2',3,3',5,5',6,6'-d8, surrogate, water, filtered, percent recovery",Not checked,,,,,Dissolved,,92739-58-7, ,%
19066,90638,Information,"Bisphenol A-2,2',3,3',5,5',6,6'-d8, surrogate, water, unfiltered, percent recovery",Not checked,,,,,Total,,92739-58-7, ,%
19067,90639,Information,"Bisphenol F-d10, isotope dilution standard, water, filtered, percent recovery",Not checked,,,,,Dissolved,, , ,%
19068,90640,Information,"Barban, surrogate, NWQL schedules 2060/9060, water, filtered, percent recovery",USGS use and no use by EPA,,,,,Dissolved,,101-27-9, ,%
19069,90641,Information,"Bisphenol S-2,2',3,3',5,5',6,6'-d8, isotope dilution standard, water, filtered, percent recovery",Not checked,,,,,Dissolved,, , ,%
19070,90642,Information,"Bisphenol F-d10, isotope dilution standard, water, unfiltered, percent recovery",Not checked,,,,,Total,, , ,%
19071,90643,Information,"Bisphenol S-2,2',3,3',5,5',6,6'-d8, isotope dilution standard, water, unfiltered, percent recovery",Not checked,,,,,Total,, , ,%
19072,90644,Information,"Monuron, surrogate, schedules 9060/2060, water, filtered, percent recovery",USGS use and no use by EPA,,,,,Dissolved,,150-68-5, ,%
19073,90645,Information,"Bisphenol F-d10, isotope dilution standard, solids, percent recovery",Not checked,,,,,Recoverable,, , ,%
19074,90646,Information,"Bisphenol S-2,2',3,3',5,5',6,6'-d8, isotope dilution standard, solids, percent recovery",Not checked,,,,,Recoverable,, , ,%
19075,90647,Information,"Bisphenol F-d10, isotope dilution standard, suspended sediment, percent recovery",Not checked,,,,,Suspended,, , ,%
19076,90648,Information,"Bisphenol S-2,2',3,3',5,5',6,6'-d8, isotope dilution standard, suspended sediment, percent recovery",Not checked,,,,,Suspended,, , ,%
19077,90649,Information,"Bisphenol F-d10, isotope dilution standard, polar organic chemical integrative sampler (POCIS), percent recovery",Not checked,,,,,Recoverable,, , ,%
19078,90650,Information,"2,4-Dibromophenol, surrogate, NWQL schedules 1383/1385, water, unfiltered, percent recovery",USGS use and no use by EPA,,,,,Total,,615-58-7, ,%
19079,90651,Information,"2,4-Dibromophenol, surrogate, NWQL schedules 1384/1386, bed sediment, percent recovery",USGS use and no use by EPA,,,,,Bed Sediment,,615-58-7, ,%
