site_no,datetime,00065,00060,00010,00095,00300,00400,72255,63160,63680,00301,32316
09429490,2024-05-02 07:15:00+00:00,,,23.1,1150.0,7.2,8.1,,,,,
09429490,2024-05-02 07:30:00+00:00,,,23.0,1150.0,7.3,8.1,,,,,
09429490,2024-05-02 07:45:00+00:00,,,23.0,1150.0,7.2,8.1,,,,,
09429490,2024-05-02 08:00:00+00:00,,,23.0,1150.0,7.2,8.1,,,,,
09429490,2024-05-02 08:15:00+00:00,,,23.0,1150.0,7.1,8.1,,,,,
09429490,2024-05-02 08:30:00+00:00,,,22.9,1150.0,7.1,8.1,,,,,
09429490,2024-05-02 08:45:00+00:00,,,22.9,1150.0,7.2,8.1,,,,,
09429490,2024-05-02 09:00:00+00:00,,,22.9,1150.0,7.2,8.1,,,,,
09429490,2024-05-02 09:15:00+00:00,,,22.9,1150.0,7.1,8.1,,,,,
09429490,2024-05-02 09:30:00+00:00,,,22.9,1150.0,7.1,8.1,,,,,
09429490,2024-05-02 09:45:00+00:00,,,22.9,1150.0,7.1,8.1,,,,,
09429490,2024-05-02 10:00:00+00:00,,,22.9,1140.0,7.1,8.1,,,,,
09429490,2024-05-02 10:15:00+00:00,,,22.9,1140.0,7.2,8.1,,,,,
09429490,2024-05-02 10:30:00+00:00,,,22.9,1140.0,7.2,8.1,,,,,
09429490,2024-05-02 10:45:00+00:00,,,22.9,1140.0,7.1,8.1,,,,,
09429490,2024-05-02 11:00:00+00:00,,,22.9,1140.0,7.1,8.1,,,,,
09429490,2024-05-02 11:15:00+00:00,,,22.9,1140.0,7.2,8.1,,,,,
09429490,2024-05-02 11:30:00+00:00,,,22.9,1140.0,7.2,8.1,,,,,
09429490,2024-05-02 11:45:00+00:00,,,22.9,1140.0,7.1,8.1,,,,,
09429490,2024-05-02 12:00:00+00:00,,,22.9,1140.0,7.0,8.1,,,,,
09429490,2024-05-02 12:15:00+00:00,,,22.9,1140.0,7.1,8.1,,,,,
09429490,2024-05-02 12:30:00+00:00,,,22.9,1140.0,7.0,8.1,,,,,
09429490,2024-05-02 12:45:00+00:00,,,22.9,1130.0,7.1,8.1,,,,,
09429490,2024-05-02 13:00:00+00:00,,,22.9,1130.0,7.1,8.1,,,,,
09429490,2024-05-02 13:15:00+00:00,,,22.9,1130.0,7.0,8.1,,,,,
09429490,2024-05-02 13:30:00+00:00,,,22.9,1130.0,7.0,8.1,,,,,
09429490,2024-05-02 13:45:00+00:00,,,22.9,1130.0,7.0,8.1,,,,,
09429490,2024-05-02 14:00:00+00:00,,,22.9,1130.0,6.9,8.1,,,,,
09429490,2024-05-02 14:15:00+00:00,,,22.9,1130.0,7.0,8.1,,,,,
09429490,2024-05-02 14:30:00+00:00,,,22.9,1130.0,6.9,8.1,,,,,
09429490,2024-05-02 14:45:00+00:00,,,22.9,1130.0,6.9,8.1,,,,,
09429490,2024-05-02 15:00:00+00:00,,,22.9,1120.0,7.0,8.1,,,,,
09429490,2024-05-02 15:15:00+00:00,,,23.0,1120.0,6.8,8.1,,,,,
09429490,2024-05-02 15:30:00+00:00,,,23.0,1120.0,7.0,8.1,,,,,
09429490,2024-05-02 15:45:00+00:00,,,23.0,1120.0,6.9,8.1,,,,,
09429490,2024-05-02 16:00:00+00:00,,,23.0,1120.0,7.0,8.1,,,,,
09429490,2024-05-02 16:15:00+00:00,,,23.0,1120.0,6.9,8.2,,,,,
09429490,2024-05-02 16:30:00+00:00,,,23.1,1120.0,7.0,8.2,,,,,
09429490,2024-05-02 16:45:00+00:00,,,23.1,1120.0,7.3,8.2,,,,,
09429490,2024-05-02 17:00:00+00:00,,,23.1,1120.0,7.3,8.2,,,,,
09429490,2024-05-02 17:15:00+00:00,,,23.1,1120.0,7.3,8.2,,,,,
09429490,2024-05-02 17:30:00+00:00,,,23.2,1120.0,7.3,8.2,,,,,
09429490,2024-05-02 17:45:00+00:00,,,23.2,1120.0,7.3,8.2,,,,,
09429490,2024-05-02 18:00:00+00:00,,,23.2,1120.0,7.3,8.2,,,,,
09429490,2024-05-02 18:15:00+00:00,,,23.3,1120.0,7.4,8.2,,,,,
09429490,2024-05-02 18:30:00+00:00,,,23.3,1120.0,7.4,8.2,,,,,
09429490,2024-05-02 18:45:00+00:00,,,23.3,1120.0,7.4,8.2,,,,,
09429490,2024-05-02 19:00:00+00:00,,,23.3,1120.0,7.4,8.2,,,,,
09429490,2024-05-02 19:15:00+00:00,,,23.4,1120.0,7.4,8.2,,,,,
09429490,2024-05-02 19:30:00+00:00,,,23.4,1120.0,7.5,8.2,,,,,
09429490,2024-05-02 19:45:00+00:00,,,23.5,1120.0,7.4,8.2,,,,,
09429490,2024-05-02 20:00:00+00:00,,,23.5,1120.0,7.4,8.2,,,,,
09429490,2024-05-02 20:15:00+00:00,,,23.5,1120.0,7.5,8.2,,,,,
09429490,2024-05-02 20:30:00+00:00,,,23.6,1120.0,7.5,8.2,,,,,
09429490,2024-05-02 20:45:00+00:00,,,23.6,1120.0,7.6,8.2,,,,,
09429490,2024-05-02 21:00:00+00:00,,,23.6,1120.0,7.5,8.2,,,,,
09429490,2024-05-02 21:15:00+00:00,,,23.7,1120.0,7.5,8.2,,,,,
09429490,2024-05-02 21:30:00+00:00,,,23.7,1120.0,7.6,8.2,,,,,
09429490,2024-05-02 21:45:00+00:00,,,23.7,1120.0,7.6,8.2,,,,,
09429490,2024-05-02 22:00:00+00:00,,,23.8,1130.0,7.6,8.2,,,,,
09429490,2024-05-02 22:15:00+00:00,,,23.8,1130.0,7.6,8.2,,,,,
09429490,2024-05-02 22:30:00+00:00,,,23.8,1130.0,7.6,8.2,,,,,
09429490,2024-05-02 22:45:00+00:00,,,23.9,1130.0,7.5,8.2,,,,,
09429490,2024-05-02 23:00:00+00:00,,,23.9,1130.0,7.5,8.2,,,,,
09429490,2024-05-02 23:15:00+00:00,,,23.9,1130.0,7.5,8.2,,,,,
09429490,2024-05-02 23:30:00+00:00,,,23.9,1130.0,7.5,8.2,,,,,
09429490,2024-05-02 23:45:00+00:00,,,23.9,1130.0,7.6,8.2,,,,,
09429490,2024-05-03 00:00:00+00:00,,,23.9,1130.0,7.6,8.2,,,,,
09429490,2024-05-03 00:15:00+00:00,,,24.0,1130.0,7.6,8.2,,,,,
09429490,2024-05-03 00:30:00+00:00,,,24.0,1130.0,7.5,8.2,,,,,
09429490,2024-05-03 00:45:00+00:00,,,23.9,1140.0,7.5,8.2,,,,,
09429490,2024-05-03 01:00:00+00:00,,,23.9,1140.0,7.5,8.2,,,,,
09429490,2024-05-03 01:15:00+00:00,,,23.9,1140.0,7.4,8.2,,,,,
09429490,2024-05-03 01:30:00+00:00,,,23.9,1140.0,7.4,8.2,,,,,
09429490,2024-05-03 01:45:00+00:00,,,23.9,1140.0,7.4,8.2,,,,,
09429490,2024-05-03 02:00:00+00:00,,,23.9,1140.0,7.4,8.1,,,,,
09429490,2024-05-03 02:15:00+00:00,,,23.9,1140.0,7.4,8.1,,,,,
09429490,2024-05-03 02:30:00+00:00,,,23.9,1140.0,7.3,8.1,,,,,
09429490,2024-05-03 02:45:00+00:00,,,23.9,1140.0,7.4,8.1,,,,,
09429490,2024-05-03 03:00:00+00:00,,,23.8,1150.0,7.3,8.1,,,,,
09429490,2024-05-03 03:15:00+00:00,,,23.8,1150.0,7.3,8.1,,,,,
09429490,2024-05-03 03:30:00+00:00,,,23.8,1150.0,7.5,8.1,,,,,
09429490,2024-05-03 03:45:00+00:00,,,23.8,1150.0,7.3,8.1,,,,,
09429490,2024-05-03 04:00:00+00:00,,,23.8,1150.0,7.3,8.1,,,,,
09429490,2024-05-03 04:15:00+00:00,,,23.8,1150.0,7.3,8.1,,,,,
09429490,2024-05-03 04:30:00+00:00,,,23.7,1150.0,7.2,8.1,,,,,
09429490,2024-05-03 04:45:00+00:00,,,23.7,1150.0,7.2,8.1,,,,,
09429490,2024-05-03 05:00:00+00:00,,,23.7,1160.0,7.2,8.1,,,,,
09429490,2024-05-03 05:15:00+00:00,,,23.7,1160.0,7.2,8.1,,,,,
09429490,2024-05-03 05:30:00+00:00,,,23.7,1160.0,7.2,8.1,,,,,
09429490,2024-05-03 05:45:00+00:00,,,23.6,1160.0,7.2,8.1,,,,,
09429490,2024-05-03 06:00:00+00:00,,,23.6,1160.0,7.2,8.1,,,,,
09429490,2024-05-03 06:15:00+00:00,,,23.6,1160.0,7.3,8.1,,,,,
09429490,2024-05-03 06:30:00+00:00,,,23.5,1160.0,7.2,8.1,,,,,
09429490,2024-05-03 06:45:00+00:00,,,23.5,1160.0,7.1,8.1,,,,,
10260500,2024-05-01 07:00:00+00:00,2.36,86.6,14.6,132.0,,8.2,,3026.89,,,
10260500,2024-05-01 07:15:00+00:00,2.36,86.6,14.6,128.0,,8.2,,3026.89,,,
10260500,2024-05-01 07:30:00+00:00,2.35,84.4,14.6,128.0,,8.2,,3026.88,,,
10260500,2024-05-01 07:45:00+00:00,2.35,84.4,14.5,128.0,,8.1,,3026.88,,,
10260500,2024-05-01 08:00:00+00:00,2.35,84.4,14.5,128.0,,8.2,,3026.88,,,
10260500,2024-05-01 08:15:00+00:00,2.35,84.4,14.4,132.0,,8.2,,3026.88,,,
10260500,2024-05-01 08:30:00+00:00,2.35,84.4,14.4,132.0,,8.2,,3026.88,,,
10260500,2024-05-01 08:45:00+00:00,2.35,84.4,14.3,132.0,,8.1,,3026.88,,,
10260500,2024-05-01 09:00:00+00:00,2.35,84.4,14.2,132.0,,8.2,,3026.88,,,
10260500,2024-05-01 09:15:00+00:00,2.35,84.4,14.2,128.0,,8.2,,3026.88,,,
10260500,2024-05-01 09:30:00+00:00,2.35,84.4,14.1,128.0,,8.1,,3026.88,,,
10260500,2024-05-01 09:45:00+00:00,2.35,84.4,14.0,128.0,,8.1,,3026.88,,,
10260500,2024-05-01 10:00:00+00:00,2.35,84.4,14.0,128.0,,8.2,,3026.88,,,
10260500,2024-05-01 10:15:00+00:00,2.35,84.4,13.9,133.0,,8.2,,3026.88,,,
10260500,2024-05-01 10:30:00+00:00,2.35,84.4,13.8,133.0,,8.2,,3026.88,,,
10260500,2024-05-01 10:45:00+00:00,2.35,84.4,13.8,133.0,,8.2,,3026.88,,,
10260500,2024-05-01 11:00:00+00:00,2.35,84.4,13.7,133.0,,8.2,,3026.88,,,
10260500,2024-05-01 11:15:00+00:00,2.36,86.6,13.6,128.0,,8.2,,3026.89,,,
10260500,2024-05-01 11:30:00+00:00,2.36,86.6,13.5,128.0,,8.2,,3026.89,,,
10260500,2024-05-01 11:45:00+00:00,2.36,86.6,13.4,128.0,,8.2,,3026.89,,,
10260500,2024-05-01 12:00:00+00:00,2.37,88.9,13.4,128.0,,8.2,,3026.9,,,
10260500,2024-05-01 12:15:00+00:00,2.37,88.9,13.3,133.0,,8.2,,3026.9,,,
10260500,2024-05-01 12:30:00+00:00,2.37,88.9,13.2,133.0,,8.2,,3026.9,,,
10260500,2024-05-01 12:45:00+00:00,2.37,88.9,13.1,133.0,,8.2,,3026.9,,,
10260500,2024-05-01 13:00:00+00:00,2.38,91.1,13.0,133.0,,8.2,,3026.91,,,
10260500,2024-05-01 13:15:00+00:00,2.38,91.1,12.9,129.0,,8.2,,3026.91,,,
10260500,2024-05-01 13:30:00+00:00,2.38,91.1,12.8,129.0,,8.2,,3026.91,,,
10260500,2024-05-01 13:45:00+00:00,2.38,91.1,12.8,129.0,,8.2,,3026.91,,,
10260500,2024-05-01 14:00:00+00:00,2.38,91.1,12.7,129.0,,8.2,,3026.91,,,
10260500,2024-05-01 14:15:00+00:00,2.38,91.1,12.6,134.0,,8.2,,3026.91,,,
10260500,2024-05-01 14:30:00+00:00,2.39,93.5,12.6,134.0,,8.2,,3026.92,,,
10260500,2024-05-01 14:45:00+00:00,2.39,93.5,12.6,134.0,,8.2,,3026.92,,,
10260500,2024-05-01 15:00:00+00:00,2.39,93.5,12.6,134.0,,8.2,,3026.92,,,
10260500,2024-05-01 15:15:00+00:00,2.39,93.5,12.6,129.0,,8.2,,3026.92,,,
10260500,2024-05-01 15:30:00+00:00,2.39,93.5,12.6,129.0,,8.2,,3026.92,,,
10260500,2024-05-01 15:45:00+00:00,2.39,93.5,12.6,129.0,,8.2,,3026.92,,,
10260500,2024-05-01 16:00:00+00:00,2.39,93.5,12.7,129.0,,8.2,,3026.92,,,
10260500,2024-05-01 16:15:00+00:00,2.39,93.5,12.8,134.0,,8.2,,3026.92,,,
10260500,2024-05-01 16:30:00+00:00,2.39,93.5,12.8,134.0,,8.2,,3026.92,,,
10260500,2024-05-01 16:45:00+00:00,2.39,93.5,13.0,134.0,,8.2,,3026.92,,,
10260500,2024-05-01 17:00:00+00:00,2.39,93.5,13.1,134.0,,8.2,,3026.92,,,
10260500,2024-05-01 17:15:00+00:00,2.39,93.5,13.2,129.0,,8.2,,3026.92,,,
10260500,2024-05-01 17:30:00+00:00,2.39,93.5,13.3,129.0,,8.2,,3026.92,,,
10260500,2024-05-01 17:45:00+00:00,2.38,91.1,13.4,129.0,,8.2,,3026.91,,,
10260500,2024-05-01 18:00:00+00:00,2.38,91.1,13.6,129.0,,8.2,,3026.91,,,
10260500,2024-05-01 18:15:00+00:00,2.38,91.1,13.8,134.0,,8.2,,3026.91,,,
10260500,2024-05-01 18:30:00+00:00,2.38,91.1,13.9,134.0,,8.2,,3026.91,,,
10260500,2024-05-01 18:45:00+00:00,2.38,91.1,14.0,134.0,,8.2,,3026.91,,,
10260500,2024-05-01 19:00:00+00:00,2.38,91.1,14.2,134.0,,8.2,,3026.91,,,
10260500,2024-05-01 19:15:00+00:00,2.38,91.1,14.3,129.0,,8.2,,3026.91,,,
10260500,2024-05-01 19:30:00+00:00,2.38,91.1,14.5,129.0,,8.2,,3026.91,,,
10260500,2024-05-01 19:45:00+00:00,2.38,91.1,14.6,129.0,,8.2,,3026.91,,,
10260500,2024-05-01 20:00:00+00:00,2.38,91.1,14.8,129.0,,8.2,,3026.91,,,
10260500,2024-05-01 20:15:00+00:00,2.38,91.1,14.9,134.0,,8.2,,3026.91,,,
10260500,2024-05-01 20:30:00+00:00,2.38,91.1,15.0,134.0,,8.2,,3026.91,,,
10260500,2024-05-01 20:45:00+00:00,2.37,88.9,15.2,135.0,,8.2,,3026.9,,,
10260500,2024-05-01 21:00:00+00:00,2.37,88.9,15.3,135.0,,8.3,,3026.9,,,
